"","ID","gpw_v4_population_density_rev11_2020_30_sec","wc2.1_30s_elev","sand_0.5cm","nitrogen_0.5cm","soc_5.15cm"
"1",1,1513.97021484375,65,30,1.5,11.1000003814697
"2",2,676.273742675781,100,29,1.79999995231628,11.3999996185303
"3",3,726.207092285156,153,20,1.70000004768372,11.6000003814697
"4",4,1397.85986328125,74,28,1.60000002384186,9.89999961853027
"5",5,1503.91796875,93,26,1.70000004768372,10.6999998092651
"6",6,1397.85986328125,70,29,1.5,9.39999961853027
"7",7,676.273742675781,99,28,1.89999997615814,12.3999996185303
"8",8,726.207092285156,153,20,1.70000004768372,11.6000003814697
"9",9,1636.99169921875,48,36,1.60000002384186,13.6999998092651
"10",10,662.096008300781,113,24,1.60000002384186,9.5
"11",11,1275.35327148438,32,25,1.39999997615814,13.1000003814697
"12",12,726.207092285156,150,20,1.70000004768372,11.6000003814697
"13",13,854.088562011719,101,26,1.79999995231628,10.8000001907349
"14",14,726.207092285156,150,20,1.70000004768372,11.6000003814697
"15",15,868.972290039062,45,31,1.70000004768372,14
"16",16,1502.31811523438,44,34,1.70000004768372,14.3999996185303
"17",17,854.088562011719,99,26,1.89999997615814,10.8000001907349
"18",18,1275.35327148438,32,25,1.39999997615814,13.1000003814697
"19",19,624.893371582031,99,26,1.89999997615814,10.8999996185303
"20",20,1018.20617675781,30,25,1.60000002384186,15.6000003814697
"21",21,1059.57336425781,50,31,1.89999997615814,13.6999998092651
"22",22,1059.57336425781,52,32,1.89999997615814,13.3000001907349
"23",23,1636.99169921875,48,36,1.60000002384186,13.3999996185303
"24",24,1636.99169921875,48,36,1.60000002384186,13.6999998092651
"25",25,1754.72607421875,83,29,1.70000004768372,10.5
"26",26,1636.99169921875,48,36,1.60000002384186,13.3999996185303
"27",27,1557.43884277344,48,35,1.70000004768372,14.1000003814697
"28",28,676.273742675781,100,29,1.79999995231628,11.3999996185303
"29",29,726.207092285156,153,20,1.70000004768372,11.6000003814697
"30",30,1671.7783203125,96,28,1.70000004768372,11.3000001907349
"31",31,1071.90283203125,116,21,1.70000004768372,8.80000019073486
"32",32,2641.2744140625,77,33,1.29999995231628,13.6000003814697
"33",33,2143.70703125,60,26,1.39999997615814,11.1999998092651
"34",34,887.275207519531,92,27,1.89999997615814,12.6000003814697
"35",35,1424.16235351562,87,27,1.60000002384186,9.39999961853027
"36",36,1026.87902832031,116,26,1.60000002384186,10.3000001907349
"37",37,1410.3056640625,41,31,1.60000002384186,14.6000003814697
"38",38,1543.06518554688,94,29,1.5,10.1999998092651
"39",39,1216.07971191406,133,22,1.60000002384186,9.19999980926514
"40",40,1127.41540527344,109,24,1.79999995231628,10.5
"41",41,1543.06518554688,91,28,1.60000002384186,11
"42",42,1432.70520019531,71,34,1.70000004768372,13.6000003814697
"43",43,1216.07971191406,133,22,1.60000002384186,9.19999980926514
"44",44,1112.28259277344,75,32,1.29999995231628,11.1999998092651
"45",45,624.893371582031,104,26,1.89999997615814,11.1000003814697
"46",46,1175.27648925781,77,45,1.29999995231628,14.6000003814697
"47",47,1887.21752929688,85,30,1.89999997615814,14.1999998092651
"48",48,1187.69079589844,90,30,1.70000004768372,14.8999996185303
"49",49,1566.3037109375,84,32,1.29999995231628,12.1000003814697
"50",50,1244.59411621094,80,31,1.70000004768372,15.8999996185303
"51",51,1734.04577636719,73,29,1.39999997615814,10.1000003814697
"52",52,1244.59411621094,80,31,1.70000004768372,15.8999996185303
"53",53,1032.93811035156,95,35,1.39999997615814,9.80000019073486
"54",54,1406.57702636719,45,29,1.89999997615814,15.1999998092651
"55",55,1887.21752929688,85,30,1.89999997615814,14.1999998092651
"56",56,1653.96459960938,61,27,1.60000002384186,14
"57",57,1036.74377441406,89,29,1.29999995231628,14.1000003814697
"58",58,405.684600830078,88,25,1.39999997615814,9.10000038146973
"59",59,1851.1611328125,49,32,1.70000004768372,12.6000003814697
"60",60,1126.75085449219,41,29,1.60000002384186,15.1000003814697
"61",61,3408.41357421875,109,25,1.79999995231628,10.5
"62",62,1022.92889404297,55,31,1.60000002384186,13
"63",63,935.722045898438,59,32,1.39999997615814,13.6000003814697
"64",64,3408.41357421875,107,25,1.60000002384186,10.6000003814697
"65",65,1313.35070800781,40,31,1.70000004768372,15.1000003814697
"66",66,1175.27648925781,80,44,1.29999995231628,12.8000001907349
"67",67,1152.53466796875,67,30,2,16
"68",68,1565.69775390625,66,33,1.89999997615814,13.1000003814697
"69",69,1565.69775390625,66,33,1.89999997615814,13.1000003814697
"70",70,740.812072753906,125,34,1.70000004768372,12.6999998092651
"71",71,5301.10888671875,48,28,1.79999995231628,15.3999996185303
"72",72,5301.10888671875,48,28,1.79999995231628,15.3999996185303
"73",73,1152.53466796875,65,30,2,17.2999992370605
"74",74,1152.53466796875,67,30,2,16
"75",75,949.9404296875,43,29,2,17.2000007629395
"76",76,1543.78955078125,55,31,1.60000002384186,11.8000001907349
"77",77,2119.14404296875,51,31,1.60000002384186,10.8999996185303
"78",78,1199.76013183594,57,31,2,15.8999996185303
"79",79,1032.93811035156,95,35,1.39999997615814,9.80000019073486
"80",80,949.9404296875,44,29,1.89999997615814,17.5
"81",81,1313.27258300781,95,35,1.39999997615814,10.5
"82",82,1543.78955078125,51,31,1.60000002384186,10.8000001907349
"83",83,1136.87475585938,45,30,1.5,13.8000001907349
"84",84,949.9404296875,43,29,2,17.2000007629395
"85",85,1431.67822265625,78,34,1.20000004768372,10.8000001907349
"86",86,1543.78955078125,51,32,1.5,10.5
"87",87,2017.14990234375,63,27,1.60000002384186,12
"88",88,2046.90881347656,50,33,1.60000002384186,10.6999998092651
"89",89,2205.97485351562,51,33,1.5,11.5
"90",90,1543.78955078125,55,30,1.60000002384186,11.8000001907349
"91",91,3990.8544921875,55,31,1.5,12.1000003814697
"92",92,1733.57336425781,59,28,1.60000002384186,10.5
"93",93,1216.53039550781,72,32,1.5,9.89999961853027
"94",94,1026.60498046875,89,29,1.20000004768372,11.3000001907349
"95",95,1136.87475585938,45,30,1.5,13.8000001907349
"96",96,930.603210449219,45,29,1.60000002384186,13.6000003814697
"97",97,1516.30310058594,54,31,1.60000002384186,12.3999996185303
"98",98,1301.27734375,71,33,1.60000002384186,10.6999998092651
"99",99,2084.75073242188,52,33,1.60000002384186,11.8999996185303
"100",100,2205.97485351562,53,32,1.60000002384186,11.8999996185303
"101",101,3990.8544921875,54,31,1.5,12.1000003814697
"102",102,2205.97485351562,52,32,1.5,12.1999998092651
"103",103,1406.57702636719,42,29,2,16.2000007629395
"104",104,1970.28857421875,51,33,1.60000002384186,13
"105",105,1115.06726074219,67,32,1.70000004768372,15
"106",106,1970.28857421875,52,32,1.70000004768372,12.1999998092651
"107",107,1733.57336425781,59,28,1.60000002384186,10.5
"108",108,2920.943359375,58,28,1.39999997615814,12
"109",109,1382.33020019531,39,32,1.60000002384186,16
"110",110,1970.28857421875,52,33,1.60000002384186,12
"111",111,1036.74377441406,89,29,1.29999995231628,14.1000003814697
"112",112,2119.14404296875,53,31,1.60000002384186,11.3000001907349
"113",113,1498.82971191406,63,27,1.60000002384186,10.8999996185303
"114",114,2920.943359375,58,28,1.5,11.8000001907349
"115",115,2141.751953125,53,31,1.79999995231628,10.8000001907349
"116",116,1528.19494628906,55,30,1.5,14.1999998092651
"117",117,1199.61157226562,83,26,1.60000002384186,9.30000019073486
"118",118,1528.19494628906,57,30,1.5,13.6999998092651
"119",119,1493.71667480469,57,31,1.39999997615814,14
"120",120,1543.78955078125,55,31,1.60000002384186,11.6000003814697
"121",121,1528.19494628906,57,30,1.5,13.6999998092651
"122",122,1543.78955078125,51,31,1.60000002384186,10.8000001907349
"123",123,2205.97485351562,53,32,1.60000002384186,11.8999996185303
"124",124,1708.68969726562,61,30,1.5,12
"125",125,2046.90881347656,50,33,1.60000002384186,10.6999998092651
"126",126,1836.21520996094,50,32,1.60000002384186,12.8999996185303
"127",127,2175.31567382812,115,27,1.89999997615814,12
"128",128,2239.66381835938,55,31,1.79999995231628,16.2000007629395
"129",129,1257.41528320312,77,27,1.5,12
"130",130,2675.07275390625,52,31,1.60000002384186,12.1000003814697
"131",131,1493.71667480469,58,32,1.39999997615814,13.8999996185303
"132",132,1743.53698730469,43,29,1.60000002384186,14.1000003814697
"133",133,1039.65478515625,88,32,1.29999995231628,11.3000001907349
"134",134,2205.97485351562,53,32,1.5,11.6999998092651
"135",135,1970.28857421875,52,32,1.70000004768372,12.1999998092651
"136",136,3990.8544921875,56,31,1.5,12.1000003814697
"137",137,2017.14990234375,62,27,1.70000004768372,12.6000003814697
"138",138,1220.23852539062,68,28,1.60000002384186,8.5
"139",139,2175.31567382812,115,27,1.89999997615814,12
"140",140,2270.03564453125,50,33,1.5,11.6999998092651
"141",141,1380.51733398438,72,34,1.29999995231628,10.6999998092651
"142",142,3038.76391601562,41,28,2,16
"143",143,1543.78955078125,55,30,1.60000002384186,12.1000003814697
"144",144,1026.65600585938,59,26,1.5,10
"145",145,1543.78955078125,55,30,1.60000002384186,12.1000003814697
"146",146,2205.97485351562,52,32,1.5,12.1999998092651
"147",147,1493.71667480469,56,31,1.39999997615814,13.8999996185303
"148",148,1448.58215332031,72,34,1.29999995231628,10.1999998092651
"149",149,1493.71667480469,57,31,1.39999997615814,14
"150",150,930.603210449219,45,29,1.60000002384186,13.6000003814697
"151",151,1836.21520996094,50,32,1.60000002384186,13.1999998092651
"152",152,2205.97485351562,53,32,1.5,11.6999998092651
"153",153,1668.65173339844,54,29,1.60000002384186,12.1999998092651
"154",154,1743.53698730469,45,31,1.60000002384186,13.3999996185303
"155",155,1047.45239257812,93,33,1.60000002384186,11.6999998092651
"156",156,1708.68969726562,61,30,1.5,12
"157",157,3990.8544921875,56,31,1.5,12.1000003814697
"158",158,1159.03515625,65,28,1.39999997615814,8.19999980926514
"159",159,1187.69079589844,89,30,1.70000004768372,14.8999996185303
"160",160,2755.41162109375,50,31,1.60000002384186,10.8999996185303
"161",161,1120.23803710938,57,29,1.60000002384186,10.5
"162",162,2119.14404296875,54,31,1.60000002384186,11.1000003814697
"163",163,1970.28857421875,52,32,1.70000004768372,12.1999998092651
"164",164,1535.36730957031,82,36,1.20000004768372,11.6000003814697
"165",165,2205.97485351562,52,32,1.5,12.1999998092651
"166",166,1770.32678222656,52,33,1.5,10.6999998092651
"167",167,2171.49731445312,46,32,1.60000002384186,11.8999996185303
"168",168,2175.31567382812,115,27,1.89999997615814,12
"169",169,930.603210449219,45,29,1.60000002384186,13.6000003814697
"170",170,1516.30310058594,54,31,1.60000002384186,12.3999996185303
"171",171,1493.71667480469,57,31,1.39999997615814,14
"172",172,1836.21520996094,50,32,1.60000002384186,12.8999996185303
"173",173,1187.69079589844,94,30,1.5,12.3000001907349
"174",174,1671.7783203125,96,28,1.70000004768372,11.3000001907349
"175",175,1836.21520996094,50,32,1.60000002384186,13.1999998092651
"176",176,2119.14404296875,53,31,1.60000002384186,11.3000001907349
"177",177,1561.16467285156,49,30,1.60000002384186,11.3999996185303
"178",178,1493.71667480469,59,32,1.39999997615814,13.6000003814697
"179",179,1524.13208007812,58,31,1.5,12.1999998092651
"180",180,1528.19494628906,55,30,1.5,14.1999998092651
"181",181,1578.97729492188,52,32,1.70000004768372,11.3999996185303
"182",182,823.137756347656,84,28,1.70000004768372,10.8999996185303
"183",183,1970.28857421875,52,32,1.70000004768372,12.1999998092651
"184",184,1853.60144042969,58,31,1.5,12.5
"185",185,2535.83837890625,43,27,2,15.5
"186",186,1474.56494140625,85,30,1.5,11.8999996185303
"187",187,1022.92889404297,55,31,1.79999995231628,14.3999996185303
"188",188,1382.33020019531,41,31,1.60000002384186,15.8999996185303
"189",189,1071.90283203125,112,22,1.70000004768372,8.80000019073486
"190",190,1382.33020019531,41,31,1.60000002384186,15.8999996185303
"191",191,1018.49560546875,71,30,1.29999995231628,10.5
"192",192,1193.22485351562,60,31,1.29999995231628,9.60000038146973
"193",193,1462.17163085938,81,31,1.89999997615814,13.8000001907349
"194",194,1018.49554443359,75,28,1.29999995231628,10.6999998092651
"195",195,1360.38708496094,66,25,1.29999995231628,11.1000003814697
"196",196,2040.10803222656,81,30,1.79999995231628,15
"197",197,1492.705078125,75,31,1.70000004768372,12.3999996185303
"198",198,1090.39855957031,41,29,1.70000004768372,14.8999996185303
"199",199,2028.18835449219,67,28,2,14
"200",200,1196.77514648438,89,32,1.29999995231628,11.1000003814697
"201",201,1245.60571289062,70,28,1.39999997615814,9.69999980926514
"202",202,1187.69079589844,90,29,1.70000004768372,13.8999996185303
