"","A.q103_district","distcount","herbi_1st_use","firstusecount","percent","cumulative_percent"
"1","Munger",49,1947,1,2.04081632653061,2.04081632653061
"2","Arwal",23,1990,2,8.69565217391304,8.69565217391304
"3","Begusarai",53,1990,1,1.88679245283019,1.88679245283019
"4","Khagaria",43,1990,1,2.32558139534884,2.32558139534884
"5","Aurangabad",27,1995,1,3.7037037037037,3.7037037037037
"6","Begusarai",53,1995,1,1.88679245283019,3.77358490566038
"7","Arah",32,2000,3,9.375,9.375
"8","Araria",9,2000,1,11.1111111111111,11.1111111111111
"9","Aurangabad",27,2000,6,22.2222222222222,25.9259259259259
"10","Banka",43,2000,3,6.97674418604651,6.97674418604651
"11","Begusarai",53,2000,2,3.77358490566038,7.54716981132075
"12","Bhagalpur",42,2000,1,2.38095238095238,2.38095238095238
"13","Gaya",29,2000,2,6.89655172413793,6.89655172413793
"14","Gopalganj",21,2000,1,4.76190476190476,4.76190476190476
"15","Jehanabad",30,2000,1,3.33333333333333,3.33333333333333
"16","Khagaria",43,2000,1,2.32558139534884,4.65116279069767
"17","Lakhisarai",46,2000,2,4.34782608695652,4.34782608695652
"18","Madhepura",34,2000,1,2.94117647058824,2.94117647058824
"19","Munger",49,2000,1,2.04081632653061,4.08163265306122
"20","Muzaffarpur",51,2000,2,3.92156862745098,3.92156862745098
"21","Nalanda",42,2000,3,7.14285714285714,7.14285714285714
"22","Nawada",27,2000,2,7.40740740740741,7.40740740740741
"23","Rohtas",46,2000,2,4.34782608695652,4.34782608695652
"24","Saran",21,2000,1,4.76190476190476,4.76190476190476
"25","Sheohar",29,2000,2,6.89655172413793,6.89655172413793
"26","Arah",32,2001,1,3.125,12.5
"27","Kaimur",29,2001,1,3.44827586206897,3.44827586206897
"28","EastChamparan",41,2002,1,2.4390243902439,2.4390243902439
"29","Jehanabad",30,2002,1,3.33333333333333,6.66666666666667
"30","Muzaffarpur",51,2003,1,1.96078431372549,5.88235294117647
"31","Nalanda",42,2003,1,2.38095238095238,9.52380952380952
"32","Rohtas",46,2003,1,2.17391304347826,6.52173913043478
"33","Aurangabad",27,2004,1,3.7037037037037,29.6296296296296
"34","Banka",43,2004,1,2.32558139534884,9.30232558139535
"35","Gaya",29,2004,1,3.44827586206897,10.3448275862069
"36","Patna",12,2004,1,8.33333333333333,8.33333333333333
"37","Arwal",23,2005,1,4.34782608695652,13.0434782608696
"38","Aurangabad",27,2005,2,7.40740740740741,37.037037037037
"39","Begusarai",53,2005,2,3.77358490566038,11.3207547169811
"40","Bhagalpur",42,2005,1,2.38095238095238,4.76190476190476
"41","Buxar",27,2005,1,3.7037037037037,3.7037037037037
"42","Gaya",29,2005,1,3.44827586206897,13.7931034482759
"43","Kaimur",29,2005,2,6.89655172413793,10.3448275862069
"44","Katihar",20,2005,2,10,10
"45","Khagaria",43,2005,2,4.65116279069767,9.30232558139535
"46","Lakhisarai",46,2005,3,6.52173913043478,10.8695652173913
"47","Madhubani",18,2005,1,5.55555555555556,5.55555555555556
"48","Munger",49,2005,2,4.08163265306122,8.16326530612245
"49","Muzaffarpur",51,2005,2,3.92156862745098,9.80392156862745
"50","Nalanda",42,2005,1,2.38095238095238,11.9047619047619
