"","Districts","year","Herb_adopt_perc"
"1","Arah",2000,1.64846926985812
"2","Arah",2001,2.15555796214113
"3","Arah",2002,2.81416984738014
"4","Arah",2003,3.66647413080067
"5","Arah",2004,4.76425465032689
"6","Arah",2005,6.16967136262653
"7","Arah",2006,7.95504424527601
"8","Arah",2007,10.2008981528228
"9","Arah",2008,12.991307783586
"10","Arah",2009,16.4055718912308
"11","Arah",2010,20.5056716916686
"12","Arah",2011,25.3200990949521
"13","Arah",2012,30.8265497143641
"14","Arah",2013,36.9381960947048
"15","Arah",2014,43.4995640180529
"16","Arah",2015,50.2968525469554
"17","Arah",2016,57.0831859600517
"18","Arah",2017,63.6132619873981
"19","Arah",2018,69.6775388886376
"20","Arah",2019,75.126324044919
"21","Arah",2020,79.8787380210043
"22","Arah",2021,83.9175253129632
"23","Arah",2022,87.2747835990097
"24","Arah",2023,90.0145984944244
"25","Arah",2024,92.2171201384889
"26","Arah",2025,93.9663865222119
"27","Arah",2026,95.3423484828735
"28","Arah",2027,96.4164897576038
"29","Arah",2028,97.2500588827854
"30","Arah",2029,97.8939647910445
"31","Arah",2030,98.389595147506
"32","Araria",2000,12.5423522895379
"33","Araria",2001,14.3717891307193
"34","Araria",2002,16.417975919074
"35","Araria",2003,18.6918950174245
"36","Araria",2004,21.200869890947
"37","Araria",2005,23.947430139714
"38","Araria",2006,26.9282120680072
"39","Araria",2007,30.1330132193377
"40","Araria",2008,33.5441365581875
"41","Araria",2009,37.1361593503845
"42","Araria",2010,40.8762369262525
"43","Araria",2011,44.7250003108976
"44","Araria",2012,48.63803366522
"45","Araria",2013,52.5678343060969
"46","Araria",2014,56.4660817135335
"47","Araria",2015,60.285990103443
"48","Araria",2016,63.9845047643376
"49","Araria",2017,67.5241291189328
"50","Araria",2018,70.8742305391297
"51","Araria",2019,74.0117533536439
"52","Araria",2020,76.92134917882
"53","Araria",2021,79.5950019598985
"54","Araria",2022,82.0312683620969
"55","Araria",2023,84.2342710991144
"56","Araria",2024,86.2125771252544
"57","Araria",2025,87.9780714494918
"58","Araria",2026,89.544908495979
"59","Araria",2027,90.9285930772941
"60","Araria",2028,92.1452166767895
"61","Araria",2029,93.2108541624168
"62","Araria",2030,94.1411118183738
"63","Arwal",2000,1.46769025884631
"64","Arwal",2001,1.97653441075397
"65","Arwal",2002,2.65703619420422
"66","Arwal",2003,3.56331136730593
"67","Arwal",2004,4.7635764554791
"68","Arwal",2005,6.34155254198549
"69","Arwal",2006,8.39616341187569
"70","Arwal",2007,11.0379987759975
"71","Arwal",2008,14.3805872352328
"72","Arwal",2009,18.5246214357233
"73","Arwal",2010,23.5345865926559
"74","Arwal",2011,29.4103952786996
"75","Arwal",2012,36.0613590941944
"76","Arwal",2013,43.2939191171646
"77","Arwal",2014,50.8240117799329
"78","Arwal",2015,58.3169003283749
"79","Arwal",2016,65.4443454070443
"80","Arwal",2017,71.9394801329647
"81","Arwal",2018,77.6310619663924
"82","Arwal",2019,82.4498400732075
"83","Arwal",2020,86.4122378876492
"84","Arwal",2021,89.5929435712811
"85","Arwal",2022,92.0971838967376
"86","Arwal",2023,94.0389247833716
"87","Arwal",2024,95.5267480290313
"88","Arwal",2025,96.6564291030273
"89","Arwal",2026,97.5082605919679
"90","Arwal",2027,98.147233474967
"91","Arwal",2028,98.624661563096
"92","Arwal",2029,98.9803422434987
"93","Arwal",2030,99.244743604201
"94","Aurangabad",2000,17.3669136472959
"95","Aurangabad",2001,19.9328737890737
"96","Aurangabad",2002,22.7734697153302
"97","Aurangabad",2003,25.8879876061608
"98","Aurangabad",2004,29.2670267746899
"99","Aurangabad",2005,32.8913753786336
"100","Aurangabad",2006,36.7314772753533
"101","Aurangabad",2007,40.7476899475736
"102","Aurangabad",2008,44.8914535309825
"103","Aurangabad",2009,49.1073662784386
"104","Aurangabad",2010,53.3360139050137
"105","Aurangabad",2011,57.5172632040603
"106","Aurangabad",2012,61.5936405175925
"107","Aurangabad",2013,65.513398821302
"108","Aurangabad",2014,69.2329383085382
"109","Aurangabad",2015,72.7183666048029
"110","Aurangabad",2016,75.9461326390834
"111","Aurangabad",2017,78.9028061889398
"112","Aurangabad",2018,81.5841755132254
"113","Aurangabad",2019,83.9938859380406
"114","Aurangabad",2020,86.1418454664695
"115","Aurangabad",2021,88.0425921238694
"116","Aurangabad",2022,89.7137679936461
"117","Aurangabad",2023,91.1747911793806
"118","Aurangabad",2024,92.4457692166645
"119","Aurangabad",2025,93.5466608048627
"120","Aurangabad",2026,94.4966682400356
"121","Aurangabad",2027,95.3138292323833
"122","Aurangabad",2028,96.0147713848027
"123","Aurangabad",2029,96.614592821929
"124","Aurangabad",2030,97.1268359809411
"125","Banka",2000,0.762556152014729
"126","Banka",2001,1.02980513080749
"127","Banka",2002,1.38940409688174
"128","Banka",2003,1.87219652755868
"129","Banka",2004,2.51846592339495
"130","Banka",2005,3.38013853532909
"131","Banka",2006,4.52294662859846
"132","Banka",2007,6.02802671418327
"133","Banka",2008,7.9920220607251
"134","Banka",2009,10.5242444715957
"135","Banka",2010,13.7389804780438
"136","Banka",2011,17.7409870743191
"137","Banka",2012,22.6032696377701
"138","Banka",2013,28.3390636247483
"139","Banka",2014,34.8745242844462
"140","Banka",2015,42.033122662681
"141","Banka",2016,49.5433015960118
"142","Banka",2017,57.0741462086845
"143","Banka",2018,64.2911244791367
"144","Banka",2019,70.9131085513097
"145","Banka",2020,76.7511567131962
"146","Banka",2021,81.7195108280595
"147","Banka",2022,85.8222424111956
"148","Banka",2023,89.1267049367731
"149","Banka",2024,91.7351542550126
"150","Banka",2025,93.761648718786
"151","Banka",2026,95.3166255367842
"152","Banka",2027,96.498482177556
"153","Banka",2028,97.3902613110393
"154","Banka",2029,98.05948617961
"155","Banka",2030,98.5596373284981
"156","Begusarai",2000,0.616211358872049
"157","Begusarai",2001,0.859830331899728
"158","Begusarai",2002,1.19860240371784
"159","Begusarai",2003,1.66860374893574
"160","Begusarai",2004,2.31857916956186
"161","Begusarai",2005,3.21346702359437
"162","Begusarai",2006,4.43805663631418
"163","Begusarai",2007,6.09990210002366
"164","Begusarai",2008,8.32978905216574
"165","Begusarai",2009,11.2769392490981
"166","Begusarai",2010,15.0951129343361
"167","Begusarai",2011,19.9158630138512
"168","Begusarai",2012,25.8081901018707
"169","Begusarai",2013,32.7313160270172
"170","Begusarai",2014,40.4978599680082
"171","Begusarai",2015,48.7711529927448
"172","Begusarai",2016,57.1123282095522
"173","Begusarai",2017,65.0681224805605
"174","Begusarai",2018,72.2647906005661
"175","Begusarai",2019,78.4694020568528
"176","Begusarai",2020,83.6009715379032
"177","Begusarai",2021,87.7011841277712
"178","Begusarai",2022,90.8879670949357
