"","xmid","scale","xmid_Estimate","xmid_Std..Error","xmid_t.value","xmid_Pr...t..","xmid_Estimate.1","xmid_Std..Error.1","xmid_t.value.1","xmid_Pr...t...1","Slopes","Intercept","Year10percent","Year90percent","Years10_90"
"Madhubani",2019.96495062126,5.48014514459734,2019.96495062126,0.626004422506553,3226.75827517835,5.5345873015808e-14,5.48014514459734,0.642346950214322,8.53144105808996,0.00103584432729504,0.182476918697283,-368.596980065879,2007.90863130315,2032.02126993938,24.112638636228
"Sheohar",2016.82320011443,4.57481616214348,2016.82320011443,0.290642169443995,6939.19675858689,3.40887119278717e-25,4.57481616214348,0.419422252771525,10.9074235616095,1.20345104662596e-05,0.218588018525199,-440.853387028665,2006.75860455772,2026.88779567115,20.129191113431
"Samastipur",2016.94206471062,4.05552542061926,2016.94206471062,0.381985960511712,5280.14710804739,3.11478011207166e-21,4.05552542061926,0.577106091638288,7.0273481416674,0.000414614984793741,0.246577174665399,-497.33187578014,2008.01990878526,2025.86422063598,17.8443118507246
"Saharsa",2017.26994683926,2.45241952653952,2017.26994683926,0.189718357641876,10632.971800479,1.71866994754697e-26,2.45241952653952,0.237338170808579,10.3330177281828,1.72318042354386e-05,0.407760576515653,-822.563156510879,2011.87462388087,2022.66526979765,10.7906459167741
"Gopalganj",2015.91682933671,2.73418156764362,2015.91682933671,0.333894618582557,6037.58406737622,1.39355604538607e-21,2.73418156764362,0.45426113878241,6.01896427894373,0.000948689532319801,0.365740158530079,-737.301740745062,2009.90162988789,2021.93202878552,12.0303988976323
"Gaya",2014.70630780934,4.33238849672685,2014.70630780934,0.281273011230092,7162.81416051408,1.02592914590883e-31,4.33238849672685,0.340085583182343,12.7391124792372,4.62047927503711e-07,0.230819558485004,-465.033620445503,2005.17505311654,2024.23756250214,19.0625093855981
"Banka",2016.06026298069,3.29874728192565,2016.06026298069,0.221703941709337,9093.47956304642,6.3650144293884e-36,3.29874728192565,0.281835167265755,11.7045268478334,3.69201441430817e-07,0.303145380514342,-611.159355561125,2008.80301896045,2023.31750700093,14.5144880404732
"EastChamparan",2014.58407275017,3.62335724985712,2014.58407275017,0.207508392256944,9708.44625048053,1.41912302229752e-29,3.62335724985712,0.281863844993701,12.8549912101642,1.26677776768234e-06,0.275987138734231,-555.999293977873,2006.61268680048,2022.55545869985,15.9427718993716
"Saran",2016.20443985958,2.51572569844308,2016.20443985958,0.353774920350943,5699.11636997759,1.9699645582896e-21,2.51572569844308,0.444346005643324,5.66163680216009,0.00130501988561213,0.397499616360748,-801.440491349019,2010.669843323,2021.73903639615,11.0691930731498
"Arah",2014.9565637473,3.65802338418988,2014.9565637473,0.423409599964429,4758.88256647128,4.25772459796665e-27,3.65802338418988,0.614883452531007,5.94913291150149,0.000342310523384595,0.273371680542568,-550.832062051878,2006.90891230209,2023.00421519252,16.0953028904357
