"","a","b"
"Madhubani",-368.596567944262,0.182476714561801
"Sheohar",-440.851887417105,0.218587274413289
"Samastipur",-497.328183361845,0.246575342973741
"Saharsa",-822.561444479149,0.407759727538659
"Gopalganj",-737.301163045041,0.3657398712913
"Gaya",-465.032921858735,0.230819211642221
"Banka",-611.157729668683,0.303144573842693
"EastChamparan",-555.99866366256,0.275986825840967
"Saran",-801.440072025117,0.397499408240571
"Arah",-550.830300149428,0.273370806156136
"Kaimur",-615.273580676009,0.305338550042555
"Sitamarhi",-605.537963000814,0.300606327609243
"Bhagalpur",-549.706699685161,0.272761029525327
"Siwan",-527.017996697911,0.261436601346863
"Patna",-623.536243401715,0.309568720888673
"Madhepura",-868.687727101975,0.430740607145373
"Muzaffarpur",-798.262397952865,0.396057305571976
"Munger",-766.748637035726,0.380596788572442
"Araria",-316.534345961761,0.15729614982158
"Supaul",-1132.29633959857,0.561737810009251
"Khagaria",-741.461983077971,0.367872161742405
"Begusarai",-676.281275593064,0.335599062873902
"Katihar",-840.826373352041,0.41728899110424
"Rohtas",-552.423238516793,0.27434465753349
"Nalanda",-552.09479164832,0.27409570273394
"Lakhisarai",-660.614338861285,0.327954483934352
"Jehanabad",-572.60400496407,0.284155397568226
"Buxar",-870.80900124245,0.432390970443323
"Nawada",-626.58903062077,0.311066525624036
"Arwal",-609.869637505491,0.302831481350129
"Vaishali",-561.063402913428,0.278777477527599
"Aurangabad",-340.256544651745,0.169348350310056
"Darbhanga",-3624.77421191434,1.79869338325059
"Kishanganj",NA,NA
"WestChamparan",-919.090109935365,0.456316786895276
