"","A.q103_district","herbi_1st_use","V1","distcount","firstusecount","percent","cumulative_percent","pred"
"1","Arah",2000,7,32,3,9.375,9.375,1.64846926985812
"2","Arah",2001,26,32,1,3.125,12.5,2.15555796214113
"3","Arah",2002,NA,NA,NA,NA,NA,2.81416984738014
"4","Arah",2003,NA,NA,NA,NA,NA,3.66647413080067
"5","Arah",2004,NA,NA,NA,NA,NA,4.76425465032689
"6","Arah",2005,NA,NA,NA,NA,NA,6.16967136262653
"7","Arah",2006,NA,NA,NA,NA,NA,7.95504424527601
"8","Arah",2007,NA,NA,NA,NA,NA,10.2008981528228
"9","Arah",2008,62,32,1,3.125,15.625,12.991307783586
"10","Arah",2009,NA,NA,NA,NA,NA,16.4055718912308
"11","Arah",2010,78,32,3,9.375,25,20.5056716916686
"12","Arah",2011,NA,NA,NA,NA,NA,25.3200990949521
"13","Arah",2012,NA,NA,NA,NA,NA,30.8265497143641
"14","Arah",2013,132,32,1,3.125,28.125,36.9381960947048
"15","Arah",2014,153,32,2,6.25,34.375,43.4995640180529
"16","Arah",2015,179,32,6,18.75,53.125,50.2968525469554
"17","Arah",2016,212,32,2,6.25,59.375,57.0831859600517
"18","Arah",2017,244,32,3,9.375,68.75,63.6132619873981
"19","Arah",2018,274,32,1,3.125,71.875,69.6775388886376
"20","Arah",2019,NA,NA,NA,NA,NA,75.126324044919
"21","Arah",2020,NA,NA,NA,NA,NA,79.8787380210043
"22","Arah",2021,NA,NA,NA,NA,NA,83.9175253129632
"23","Arah",2022,NA,NA,NA,NA,NA,87.2747835990097
"24","Arah",2023,NA,NA,NA,NA,NA,90.0145984944244
"25","Arah",2024,NA,NA,NA,NA,NA,92.2171201384889
"26","Arah",2025,NA,NA,NA,NA,NA,93.9663865222119
"27","Arah",2026,NA,NA,NA,NA,NA,95.3423484828735
"28","Arah",2027,NA,NA,NA,NA,NA,96.4164897576038
"29","Arah",2028,NA,NA,NA,NA,NA,97.2500588827854
"30","Arah",2029,NA,NA,NA,NA,NA,97.8939647910445
"31","Arah",2030,NA,NA,NA,NA,NA,98.389595147506
"32","Araria",2000,8,9,1,11.1111111111111,11.1111111111111,12.5423522895379
"33","Araria",2001,NA,NA,NA,NA,NA,14.3717891307193
"34","Araria",2002,NA,NA,NA,NA,NA,16.417975919074
"35","Araria",2003,NA,NA,NA,NA,NA,18.6918950174245
"36","Araria",2004,NA,NA,NA,NA,NA,21.200869890947
"37","Araria",2005,NA,NA,NA,NA,NA,23.947430139714
"38","Araria",2006,NA,NA,NA,NA,NA,26.9282120680072
"39","Araria",2007,NA,NA,NA,NA,NA,30.1330132193377
"40","Araria",2008,NA,NA,NA,NA,NA,33.5441365581875
"41","Araria",2009,NA,NA,NA,NA,NA,37.1361593503845
"42","Araria",2010,79,9,3,33.3333333333333,44.4444444444444,40.8762369262525
"43","Araria",2011,NA,NA,NA,NA,NA,44.7250003108976
"44","Araria",2012,NA,NA,NA,NA,NA,48.63803366522
"45","Araria",2013,NA,NA,NA,NA,NA,52.5678343060969
"46","Araria",2014,NA,NA,NA,NA,NA,56.4660817135335
"47","Araria",2015,NA,NA,NA,NA,NA,60.285990103443
"48","Araria",2016,213,9,1,11.1111111111111,55.5555555555556,63.9845047643376
"49","Araria",2017,245,9,1,11.1111111111111,66.6666666666667,67.5241291189328
"50","Araria",2018,275,9,1,11.1111111111111,77.7777777777778,70.8742305391297
"51","Araria",2019,NA,NA,NA,NA,NA,74.0117533536439
"52","Araria",2020,NA,NA,NA,NA,NA,76.92134917882
"53","Araria",2021,NA,NA,NA,NA,NA,79.5950019598985
"54","Araria",2022,NA,NA,NA,NA,NA,82.0312683620969
"55","Araria",2023,NA,NA,NA,NA,NA,84.2342710991144
"56","Araria",2024,NA,NA,NA,NA,NA,86.2125771252544
"57","Araria",2025,NA,NA,NA,NA,NA,87.9780714494918
"58","Araria",2026,NA,NA,NA,NA,NA,89.544908495979
"59","Araria",2027,NA,NA,NA,NA,NA,90.9285930772941
"60","Araria",2028,NA,NA,NA,NA,NA,92.1452166767895
"61","Araria",2029,NA,NA,NA,NA,NA,93.2108541624168
"62","Araria",2030,NA,NA,NA,NA,NA,94.1411118183738
"63","Arwal",2000,NA,NA,NA,NA,NA,1.46769025884631
"64","Arwal",2001,NA,NA,NA,NA,NA,1.97653441075397
"65","Arwal",2002,NA,NA,NA,NA,NA,2.65703619420422
"66","Arwal",2003,NA,NA,NA,NA,NA,3.56331136730593
"67","Arwal",2004,NA,NA,NA,NA,NA,4.7635764554791
"68","Arwal",2005,37,23,1,4.34782608695652,13.0434782608696,6.34155254198549
"69","Arwal",2006,NA,NA,NA,NA,NA,8.39616341187569
"70","Arwal",2007,NA,NA,NA,NA,NA,11.0379987759975
"71","Arwal",2008,NA,NA,NA,NA,NA,14.3805872352328
"72","Arwal",2009,NA,NA,NA,NA,NA,18.5246214357233
"73","Arwal",2010,80,23,3,13.0434782608696,26.0869565217391,23.5345865926559
"74","Arwal",2011,NA,NA,NA,NA,NA,29.4103952786996
"75","Arwal",2012,114,23,3,13.0434782608696,39.1304347826087,36.0613590941944
"76","Arwal",2013,NA,NA,NA,NA,NA,43.2939191171646
"77","Arwal",2014,154,23,1,4.34782608695652,43.4782608695652,50.8240117799329
"78","Arwal",2015,180,23,2,8.69565217391304,52.1739130434783,58.3169003283749
"79","Arwal",2016,214,23,2,8.69565217391304,60.8695652173913,65.4443454070443
"80","Arwal",2017,246,23,4,17.3913043478261,78.2608695652174,71.9394801329647
"81","Arwal",2018,276,23,1,4.34782608695652,82.6086956521739,77.6310619663924
"82","Arwal",2019,303,23,1,4.34782608695652,86.9565217391304,82.4498400732075
"83","Arwal",2020,NA,NA,NA,NA,NA,86.4122378876492
"84","Arwal",2021,NA,NA,NA,NA,NA,89.5929435712811
"85","Arwal",2022,NA,NA,NA,NA,NA,92.0971838967376
"86","Arwal",2023,NA,NA,NA,NA,NA,94.0389247833716
"87","Arwal",2024,NA,NA,NA,NA,NA,95.5267480290313
