"","A.q103_district","mean","sd","min","median","max","count"
"1","Ambala",18.3925257731959,0.100559635366001,17,18.4,18.4,194
"2","AmbedkarNagar",17.0083333333333,4.30404221770241,0.15,18,19,18
"3","Arah",13.8502403846154,0.822399247109473,12,14,16,208
"4","Araria",12.6239316239316,1.15016112609237,8,13,15,117
"5","Arwal",13.3342541436464,1.31239311587944,10,13,17,181
"6","Aurangabad",14.5840206185567,7.77897407354456,10,14,120,194
"7","Azamgarh",18.5,NA,18.5,18.5,18.5,1
"8","Balia",14.4180555555556,0.834989439658422,13,14.2,17.5,216
"9","Banda",13.4121359223301,7.62772851148031,0,19,45,206
"10","Banka",14.5952449567723,7.58823523814451,0,15,150,347
"11","BaraBanki",15,NA,15,15,15,1
"12","Bareilly",18.1507211538462,0.457188381911859,15,18,19.5,208
"13","Begusarai",15.0545563549161,1.06342871506878,12,15,17,417
"14","Bhagalpur",14.3207514450867,2.32649229317771,0.18,15,20,346
"15","Buxar",14.5632093023256,0.712122290707437,12,14.75,16,215
"16","Chandauli",15.3084558823529,6.30185677704149,12,15,140,408
"17","Darbhanga",15.2791878172589,0.47726190800274,14,15,17,197
"18","Deoria",6.02488038277512,7.8714600169297,0,0,17.5,209
"19","EastChamparan",14.3716017316017,1.33445075487147,10,14,18,462
"20","Gaya",14.3112953367876,1.64193701691941,9,14.5,19,193
"21","Gazipur",15.3058968058968,5.03595101052996,12,15,115,407
"22","Gopalganj",14.3666666666667,1.44561151886559,10,15,18,210
"23","Gorakhpur",14.9546666666667,5.02350924192126,0,17.35,18,210
"24","Jehanabad",13.6457671957672,1.40021201615854,9,14,16,189
"25","Kaimur",14.4002205882353,1.59681797975246,0,14,16,204
"26","Katihar",12.6608695652174,1.39634206663269,9,13,16,115
"27","Khagaria",15.0217167919799,1.57488058811704,0.165,15,19,399
"28","Kishanganj",13.5,0.707106781186548,13,13.5,14,2
"29","Kurukshetra",18.4830769230769,0.110921279681308,17.4,18.5,18.58,208
"30","Kushinagar",12.4459842519685,7.99311607702553,0,15.5,85,381
"31","Lakhisarai",15.3960362694301,7.74188316221463,0.17,15,165.07,386
"32","Madhepura",13.2651630434783,1.10162351112591,10,13.5,16,368
"33","Madhubani",14.0238095238095,0.217433401572503,13,14,15.5,210
"34","Maharajganj",14.5815441176471,10.2058397224486,0,17.35,175,408
"35","Mau",14.6098039215686,0.959462575752833,11,14.2,17.5,204
"36","Munger",14.4978461538462,1.58763780712249,10.5,15,19,390
"37","Muzaffarpur",15.4731457800512,6.59680731455455,13.5,15,145,391
"38","Nalanda",15.3890792838875,0.722434041958156,12,15.5,18.75,391
"39","Nawada",14.1309478672986,3.32655449550356,0.12,15,17,211
"40","Patiala",18.3920903954802,0.105230443920396,17,18.4,18.4,177
"41","Patna",15.1625615763547,0.641530765181788,11.5,15,17,203
"42","Purnia",13.1875,1.41263431725472,10,13.5,14.5,8
"43","Rohtas",14.6511957104558,2.01363169123317,0.145,15,18,373
"44","Saharsa",13.2532298136646,1.17190799639117,0.14,13.5,16,322
"45","Samastipur",14.0074257425743,0.507353201012671,11,14,17,202
"46","Sangrur",18.3933649289099,0.0963799747150119,17,18.4,18.4,211
"47","Saran",13.8373205741627,1.18172970422746,12,14,17,209
"48","Shahjahanpur",19.25,0,19.25,19.25,19.25,10
"49","Sheohar",13.8875598086124,1.01101542516192,10,14,16,209
"50","Siddharthnagar",14.076368159204,5.69444330312015,0,16,18.6,402
"51","Sitamarhi",14.2037914691943,0.916091508281747,12,14,18,211
"52","Siwan",14.3585858585859,1.05566012268217,10,14,16,198
"53","Supaul",12.8597087378641,1.09490078072426,10,13,15,206
"54","Vaishali",14.2882653061224,1.54000168199056,0,14.5,15,196
"55","WestChamparan",13.5463414634146,1.42682589608303,10,14,20,205
